Ciclo,Melhoria,Otimizado
0,36,494126
1,176,493950
2,42,493908
3,51,493857
4,209,493648
5,41,493607
6,92,493515
7,473,493042
8,166,492876
9,132,492744
10,111,492633
11,87,492546
12,312,492234
13,25,492209
14,125,492084
15,48,492036
16,280,491756
17,108,491648
18,144,491504
19,233,491271
20,236,491035
21,101,490934
22,61,490873
23,221,490652
24,849,489803
25,220,489583
26,279,489304
27,711,488593
28,172,488421
29,745,487676
30,347,487329
31,62,487267
32,197,487070
33,116,486954
34,9,486945
35,66,486879
36,62,486817
37,370,486447
38,5,486442
39,10,486432
40,40,486392
41,116,486276
42,277,485999
43,151,485848
44,3,485845
45,196,485649
46,115,485534
47,27,485507
48,122,485385
49,372,485013
50,298,484715
51,142,484573
52,69,484504
53,6,484498
54,499,483999
55,287,483712
56,549,483163
57,32,483131
58,319,482812
59,298,482514
60,238,482276
61,110,482166
62,362,481804
63,71,481733
64,191,481542
65,1028,480514
66,70,480444
67,113,480331
68,39,480292
69,189,480103
70,20,480083
71,25,480058
72,150,479908
73,37,479871
74,2,479869
75,26,479843
76,135,479708
77,34,479674
78,6,479668
79,167,479501
80,280,479221
81,31,479190
82,202,478988
83,85,478903
84,374,478529
85,19,478510
86,236,478274
87,1384,476890
88,79,476811
89,261,476550
90,136,476414
91,436,475978
92,603,475375
93,497,474878
94,93,474785
95,198,474587
96,11,474576
97,273,474303
98,43,474260
99,866,473394
100,257,473137
101,23,473114
102,189,472925
103,175,472750
104,139,472611
105,32,472579
106,227,472352
107,16,472336
108,331,472005
109,986,471019
110,109,470910
111,220,470690
112,16,470674
113,414,470260
114,256,470004
115,595,469409
116,117,469292
117,234,469058
118,138,468920
119,6,468914
120,168,468746
121,215,468531
122,177,468354
123,81,468273
124,32,468241
125,374,467867
126,252,467615
127,73,467542
128,209,467333
129,297,467036
130,86,466950
131,597,466353
132,249,466104
133,45,466059
134,390,465669
135,281,465388
136,321,465067
137,9,465058
138,217,464841
139,519,464322
140,172,464150
141,743,463407
142,122,463285
143,158,463127
144,258,462869
145,278,462591
146,132,462459
147,550,461909
148,284,461625
149,13,461612
150,7,461605
151,350,461255
152,221,461034
153,26,461008
154,391,460617
155,283,460334
156,339,459995
157,79,459916
158,21,459895
159,65,459830
160,53,459777
161,21,459756
162,141,459615
163,6,459609
164,55,459554
165,248,459306
166,14,459292
167,144,459148
168,70,459078
169,21,459057
170,33,459024
171,316,458708
172,2,458706
173,40,458666
174,180,458486
175,192,458294
176,178,458116
177,182,457934
178,95,457839
179,106,457733
180,237,457496
181,110,457386
182,223,457163
183,7,457156
184,88,457068
185,122,456946
186,16,456930
187,184,456746
188,54,456692
189,47,456645
190,58,456587
191,69,456518
192,96,456422
193,20,456402
194,82,456320
195,33,456287
196,77,456210
197,211,455999
198,508,455491
199,43,455448
200,164,455284
201,29,455255
202,13,455242
203,292,454950
204,100,454850
205,883,453967
206,283,453684
207,426,453258
208,40,453218
209,140,453078
210,401,452677
211,306,452371
212,189,452182
213,182,452000
214,173,451827
215,1248,450579
216,104,450475
217,294,450181
218,8,450173
219,413,449760
220,657,449103
221,360,448743
222,443,448300
223,345,447955
224,150,447805
225,135,447670
226,4,447666
227,298,447368
228,161,447207
229,48,447159
230,1576,445583
231,173,445410
232,128,445282
233,183,445099
234,48,445051
235,367,444684
236,426,444258
237,22,444236
238,652,443584
239,127,443457
240,50,443407
241,189,443218
242,180,443038
243,158,442880
244,729,442151
245,47,442104
246,86,442018
247,238,441780
248,95,441685
249,86,441599
250,214,441385
251,257,441128
252,63,441065
253,28,441037
254,1260,439777
255,332,439445
256,812,438633
257,222,438411
258,334,438077
259,47,438030
260,202,437828
261,26,437802
262,62,437740
263,572,437168
264,163,437005
265,176,436829
266,25,436804
267,24,436780
268,68,436712
269,6,436706
270,16,436690
271,211,436479
272,98,436381
273,429,435952
274,334,435618
275,394,435224
276,1300,433924
277,77,433847
278,61,433786
279,336,433450
280,2,433448
281,328,433120
282,34,433086
283,10,433076
284,8,433068
285,47,433021
286,10,433011
287,79,432932
288,170,432762
289,209,432553
290,52,432501
291,179,432322
292,202,432120
293,93,432027
294,138,431889
295,323,431566
296,70,431496
297,151,431345
298,53,431292
299,218,431074
300,25,431049
301,205,430844
302,34,430810
303,91,430719
304,64,430655
305,150,430505
306,210,430295
307,100,430195
308,57,430138
309,222,429916
310,131,429785
311,1,429784
312,4,429780
313,798,428982
314,132,428850
315,63,428787
316,64,428723
317,47,428676
318,12,428664
319,44,428620
320,122,428498
321,107,428391
322,86,428305
323,13,428292
324,71,428221
325,219,428002
326,119,427883
327,13,427870
328,135,427735
329,75,427660
330,36,427624
331,10,427614
332,69,427545
333,65,427480
334,387,427093
335,116,426977
336,14,426963
337,58,426905
338,172,426733
339,43,426690
340,433,426257
341,895,425362
342,149,425213
343,398,424815
344,395,424420
345,281,424139
346,264,423875
347,168,423707
348,424,423283
349,6,423277
350,5,423272
351,27,423245
352,24,423221
353,236,422985
354,72,422913
355,489,422424
356,567,421857
357,90,421767
358,158,421609
359,124,421485
360,13,421472
361,24,421448
362,9,421439
363,140,421299
364,59,421240
365,12,421228
366,253,420975
367,78,420897
368,71,420826
369,110,420716
370,58,420658
371,43,420615
372,157,420458
373,131,420327
374,40,420287
375,190,420097
376,27,420070
377,79,419991
378,16,419975
379,308,419667
380,67,419600
381,116,419484
382,31,419453
383,192,419261
384,459,418802
385,190,418612
386,162,418450
387,557,417893
388,270,417623
389,282,417341
390,698,416643
391,390,416253
392,65,416188
393,61,416127
394,294,415833
395,138,415695
396,21,415674
397,232,415442
398,53,415389
399,182,415207
400,79,415128
401,139,414989
402,271,414718
403,27,414691
404,151,414540
405,813,413727
406,127,413600
407,54,413546
408,106,413440
409,170,413270
410,94,413176
411,115,413061
412,51,413010
413,242,412768
414,56,412712
415,14,412698
416,206,412492
417,254,412238
418,170,412068
419,93,411975
420,30,411945
421,179,411766
422,78,411688
423,399,411289
424,128,411161
425,67,411094
426,172,410922
427,22,410900
428,206,410694
429,57,410637
430,3,410634
431,169,410465
432,296,410169
433,568,409601
434,185,409416
435,176,409240
436,139,409101
437,385,408716
438,619,408097
439,145,407952
440,188,407764
441,32,407732
442,574,407158
443,81,407077
444,10,407067
445,157,406910
446,98,406812
447,385,406427
448,329,406098
449,172,405926
450,191,405735
451,451,405284
452,287,404997
453,71,404926
454,12,404914
455,72,404842
456,195,404647
457,3,404644
458,33,404611
459,2,404609
460,43,404566
461,226,404340
462,92,404248
463,14,404234
464,123,404111
465,158,403953
466,69,403884
467,14,403870
468,145,403725
469,192,403533
470,44,403489
471,114,403375
472,6,403369
473,153,403216
474,455,402761
475,480,402281
476,88,402193
477,210,401983
478,189,401794
479,210,401584
480,108,401476
481,278,401198
482,704,400494
483,27,400467
484,10,400457
485,12,400445
486,390,400055
487,51,400004
488,521,399483
489,123,399360
490,163,399197
491,141,399056
492,46,399010
493,22,398988
494,2,398986
495,190,398796
496,198,398598
497,99,398499
498,148,398351
499,1018,397333
500,4,397329
501,167,397162
502,798,396364
503,558,395806
504,169,395637
505,236,395401
506,13,395388
507,5,395383
508,369,395014
509,13,395001
510,35,394966
511,170,394796
512,261,394535
513,246,394289
514,320,393969
515,943,393026
516,40,392986
517,454,392532
518,5,392527
519,81,392446
520,275,392171
521,378,391793
522,143,391650
523,187,391463
524,116,391347
525,75,391272
526,28,391244
527,68,391176
528,147,391029
529,114,390915
530,138,390777
531,43,390734
532,56,390678
533,74,390604
