Ciclo,Melhoria,Otimizado
0,30,332852
1,93,332759
2,107,332652
3,121,332531
4,309,332222
5,224,331998
6,704,331294
7,305,330989
8,57,330932
9,293,330639
10,508,330131
11,450,329681
12,77,329604
13,59,329545
14,165,329380
15,54,329326
16,100,329226
17,44,329182
18,119,329063
19,150,328913
20,72,328841
21,29,328812
22,1,328811
23,92,328719
24,366,328353
25,930,327423
26,1314,326109
27,2,326107
28,414,325693
29,265,325428
30,160,325268
31,83,325185
32,45,325140
33,202,324938
34,196,324742
35,317,324425
36,13,324412
37,51,324361
38,654,323707
39,55,323652
40,18,323634
41,27,323607
42,101,323506
43,6,323500
44,79,323421
45,114,323307
46,168,323139
47,126,323013
48,22,322991
49,31,322960
50,139,322821
51,41,322780
52,77,322703
53,177,322526
54,51,322475
55,82,322393
56,223,322170
57,16,322154
58,43,322111
59,125,321986
60,12,321974
61,155,321819
62,123,321696
63,98,321598
64,196,321402
65,28,321374
66,91,321283
67,9,321274
68,108,321166
69,269,320897
70,28,320869
71,17,320852
72,249,320603
73,1920,318683
74,56,318627
75,42,318585
76,12,318573
77,194,318379
78,17,318362
79,34,318328
80,1578,316750
81,100,316650
82,151,316499
83,2690,313809
84,159,313650
85,56,313594
86,4,313590
87,83,313507
88,7,313500
89,44,313456
90,2521,310935
91,8,310927
92,46,310881
93,99,310782
94,56,310726
95,255,310471
96,11,310460
97,58,310402
98,72,310330
99,12,310318
100,110,310208
101,332,309876
102,28,309848
103,17,309831
104,51,309780
105,375,309405
106,389,309016
107,1,309015
108,384,308631
109,248,308383
110,274,308109
111,9,308100
112,49,308051
113,75,307976
114,7,307969
115,25,307944
116,42,307902
117,516,307386
118,54,307332
119,151,307181
120,11,307170
121,50,307120
122,2265,304855
123,174,304681
124,24,304657
125,17,304640
126,122,304518
127,109,304409
128,156,304253
129,23,304230
130,5,304225
131,187,304038
132,12,304026
133,148,303878
134,4,303874
135,7,303867
136,95,303772
137,165,303607
138,162,303445
139,49,303396
140,62,303334
141,94,303240
142,747,302493
143,125,302368
144,84,302284
145,178,302106
146,64,302042
147,67,301975
148,180,301795
149,56,301739
150,226,301513
151,14,301499
152,258,301241
153,130,301111
154,97,301014
155,177,300837
156,99,300738
157,53,300685
158,16,300669
159,28,300641
160,2706,297935
161,111,297824
162,167,297657
163,69,297588
164,33,297555
165,52,297503
166,34,297469
167,124,297345
168,69,297276
169,1065,296211
170,288,295923
171,62,295861
172,71,295790
173,256,295534
174,59,295475
175,265,295210
176,240,294970
177,43,294927
178,59,294868
179,88,294780
180,219,294561
181,28,294533
182,193,294340
183,84,294256
184,175,294081
185,59,294022
186,282,293740
187,188,293552
188,178,293374
189,127,293247
190,176,293071
191,278,292793
192,53,292740
193,132,292608
194,835,291773
195,108,291665
196,3,291662
197,226,291436
198,121,291315
199,139,291176
200,57,291119
201,485,290634
202,58,290576
203,247,290329
204,71,290258
205,30,290228
206,82,290146
207,35,290111
208,149,289962
209,63,289899
210,114,289785
211,175,289610
212,59,289551
213,282,289269
214,188,289081
215,178,288903
216,127,288776
217,176,288600
218,368,288232
219,53,288179
220,331,287848
221,99,287749
222,213,287536
223,172,287364
224,5,287359
225,287,287072
226,13,287059
227,13,287046
228,26,287020
229,26,286994
230,58,286936
231,44,286892
232,38,286854
233,197,286657
234,30,286627
235,77,286550
236,296,286254
237,58,286196
238,186,286010
239,314,285696
240,21,285675
241,155,285520
242,402,285118
243,64,285054
244,31,285023
245,11,285012
246,194,284818
247,363,284455
248,152,284303
249,226,284077
250,31,284046
251,74,283972
252,28,283944
253,29,283915
254,114,283801
255,7,283794
256,108,283686
257,1,283685
258,34,283651
259,175,283476
260,59,283417
261,282,283135
262,188,282947
263,178,282769
264,127,282642
265,176,282466
266,278,282188
267,53,282135
268,132,282003
269,63,281940
270,4,281936
271,110,281826
272,53,281773
273,38,281735
274,157,281578
275,146,281432
276,163,281269
277,71,281198
278,5,281193
279,107,281086
280,41,281045
281,180,280865
282,35,280830
283,104,280726
284,21,280705
285,242,280463
286,8,280455
287,28,280427
288,203,280224
289,40,280184
290,10,280174
291,99,280075
292,67,280008
293,498,279510
294,48,279462
295,254,279208
296,15,279193
297,39,279154
298,15,279139
299,44,279095
300,49,279046
301,130,278916
302,35,278881
303,181,278700
304,4,278696
305,110,278586
306,43,278543
307,13,278530
308,13,278517
309,44,278473
