Ciclo,Melhoria,Otimizado
0,83,334215
1,68,334147
2,443,333704
3,493,333211
4,166,333045
5,261,332784
6,148,332636
7,202,332434
8,165,332269
9,3022,329247
10,129,329118
11,64,329054
12,70,328984
13,323,328661
14,192,328469
15,9,328460
16,177,328283
17,51,328232
18,517,327715
19,81,327634
20,141,327493
21,330,327163
22,2373,324790
23,642,324148
24,193,323955
25,14,323941
26,31,323910
27,14,323896
28,321,323575
29,63,323512
30,6,323506
31,96,323410
32,100,323310
33,202,323108
34,193,322915
35,3,322912
36,30,322882
37,24,322858
38,256,322602
39,28,322574
40,193,322381
41,84,322297
42,175,322122
43,59,322063
44,282,321781
45,188,321593
46,178,321415
47,127,321288
48,176,321112
49,278,320834
50,53,320781
51,132,320649
52,63,320586
53,4,320582
54,110,320472
55,53,320419
56,38,320381
57,14,320367
58,115,320252
59,1,320251
60,37,320214
61,66,320148
62,313,319835
63,134,319701
64,60,319641
65,138,319503
66,45,319458
67,60,319398
68,50,319348
69,106,319242
70,42,319200
71,2594,316606
72,93,316513
73,401,316112
74,150,315962
75,123,315839
76,35,315804
77,398,315406
78,76,315330
79,99,315231
80,73,315158
81,90,315068
82,193,314875
83,478,314397
84,3069,311328
85,66,311262
86,28,311234
87,193,311041
88,84,310957
89,175,310782
90,59,310723
91,282,310441
92,188,310253
93,178,310075
94,127,309948
95,176,309772
96,278,309494
97,53,309441
98,132,309309
99,910,308399
100,106,308293
101,8,308285
102,46,308239
103,51,308188
104,141,308047
105,139,307908
106,187,307721
107,1010,306711
108,285,306426
109,63,306363
110,4,306359
111,110,306249
112,53,306196
113,38,306158
114,433,305725
115,168,305557
116,304,305253
117,62,305191
118,143,305048
119,90,304958
120,129,304829
121,48,304781
122,122,304659
123,14,304645
124,775,303870
125,83,303787
126,157,303630
127,221,303409
128,67,303342
129,61,303281
130,84,303197
131,80,303117
132,147,302970
133,80,302890
134,341,302549
135,177,302372
136,261,302111
137,9,302102
138,93,302009
139,180,301829
140,34,301795
141,44,301751
142,153,301598
143,3,301595
144,56,301539
145,73,301466
146,14,301452
147,334,301118
148,2,301116
149,82,301034
150,84,300950
151,313,300637
152,323,300314
153,195,300119
154,19,300100
155,223,299877
156,16,299861
157,43,299818
158,125,299693
159,12,299681
160,155,299526
161,123,299403
162,98,299305
163,196,299109
164,28,299081
165,91,298990
166,9,298981
167,12,298969
168,28,298941
169,17,298924
170,718,298206
171,123,298083
172,283,297800
173,1044,296756
174,23,296733
175,64,296669
176,125,296544
177,63,296481
178,143,296338
179,138,296200
180,132,296068
181,47,296021
182,121,295900
183,146,295754
184,82,295672
185,766,294906
186,189,294717
187,130,294587
188,82,294505
189,713,293792
190,51,293741
191,499,293242
192,83,293159
193,320,292839
194,168,292671
195,82,292589
196,4,292585
197,158,292427
198,33,292394
199,65,292329
200,171,292158
201,78,292080
202,110,291970
203,141,291829
204,56,291773
205,198,291575
206,2,291573
207,101,291472
208,1,291471
209,254,291217
210,23,291194
211,17,291177
212,123,291054
213,283,290771
214,124,290647
215,40,290607
216,109,290498
217,82,290416
218,132,290284
219,369,289915
220,74,289841
221,582,289259
222,28,289231
223,17,289214
224,98,289116
225,9,289107
226,146,288961
227,1258,287703
228,5,287698
229,1,287697
230,247,287450
231,4,287446
232,74,287372
233,49,287323
234,173,287150
235,107,287043
236,36,287007
237,219,286788
238,28,286760
239,193,286567
240,84,286483
241,175,286308
242,59,286249
243,282,285967
244,188,285779
245,178,285601
246,127,285474
247,176,285298
248,278,285020
249,53,284967
250,132,284835
251,63,284772
252,4,284768
253,110,284658
254,53,284605
255,330,284275
256,73,284202
257,106,284096
258,101,283995
259,51,283944
260,208,283736
261,59,283677
262,100,283577
263,202,283375
264,92,283283
265,147,283136
266,16,283120
267,253,282867
268,52,282815
269,207,282608
270,90,282518
271,22,282496
272,31,282465
273,43,282422
274,151,282271
275,39,282232
276,320,281912
277,88,281824
278,46,281778
279,212,281566
280,43,281523
281,45,281478
282,20,281458
283,105,281353
284,204,281149
285,176,280973
286,203,280770
287,65,280705
288,14,280691
289,186,280505
